"","gsis_id","num_seasons","total_receptions","total_targets","total_rec_yards","total_receiving_tds","total_receiving_air_yards","total_yac","avg_tgt_share","avg_ay_share","avg_wopr","season_draft","round_draft","pick_draft","clean_team_draft","pfr_player_name_draft","age_draft","season_roster","clean_team_enter_fifth","same_team"
"166","00-0034418",3,72,107,899,8,1117,405,0.0908873526308226,0.119772144519918,0.220171530110177,2018,6,208,"DAL","Cedrick Wilson Jr.",22,2022,"MIA",0
"167","00-0034419",3,89,133,940,5,855,567,0.122740449555369,0.107228657361507,0.259170734486108,2018,6,210,"NE","Braxton Berrios",22,2022,"NYJ",0
"168","00-0034426",3,29,60,294,2,776,53,0.0839604529490238,0.115403776193364,0.206723322758891,2018,7,224,"CHI","Javon Wims",23,2022,"CLE",0
"169","00-0034676",4,121,227,1738,12,3254,481,0.106010899420771,0.200482587737752,0.299354160547583,2018,2,60,"PIT","James Washington",22,2022,"DAL",0
"170","00-0034686",4,61,118,799,2,1307,215,0.0968686738163229,0.127898642598068,0.234832060543132,2018,7,253,"CIN","Auden Tate",21,2022,"PHI",0
"171","00-0034747",2,20,41,270,1,467,50,0.113789145832075,0.157890550128424,0.281207103838009,2018,7,228,"LV","Marcell Ateman",23,NA,NA,0
"172","00-0034764",4,201,363,3039,16,4532,910,0.177077701423706,0.285536850903935,0.465492347768314,2018,3,81,"DAL","Michael Gallup",22,2022,"DAL",1
"173","00-0034765",4,117,177,1596,19,1809,509,0.111717862817381,0.159707021980864,0.279371709612676,2018,3,91,"NO","Tre'Quan Smith",22,2022,"NO",1
"174","00-0034772",3,53,98,695,5,1274,283,0.0968382978001252,0.129144455265346,0.23565856538593,2018,4,105,"CLE","Antonio Callaway",21,NA,NA,0
"175","00-0034775",4,242,369,2953,17,3994,939,0.20348204952044,0.280024864004203,0.501240479083601,2018,2,47,"ARI","Christian Kirk",21,2022,"JAX",0
"176","00-0034777",4,147,265,2042,15,3364,550,0.174689502981409,0.279182094930163,0.457461720923227,2018,2,61,"JAX","DJ Chark",21,2022,"DET",0
"177","00-0034827",4,301,498,4313,14,5524,1613,0.233535550950719,0.337107947006178,0.586278889330403,2018,1,24,"CAR","D.J. Moore",21,2022,"CAR",1
"178","00-0034837",4,248,380,3342,28,4755,868,0.212316927457437,0.3237363412635,0.545090830070605,2018,1,26,"ATL","Calvin Ridley",23,NA,NA,0
"179","00-0034860",4,52,91,739,9,903,272,0.126784250084234,0.165159839306505,0.305788262640904,2018,2,44,"SF","Dante Pettis",22,2022,"CHI",0
